1;SNZTMXC000001;https://cdn.pnj.io/images/thumbnails/300/300/detailed/68/snztmxc000001-nhan-bac-dinh-da-pnjsilver-beauty-and-the-beast-ztmxc000001-01.png;Nhẫn bạc đính đá Disney|PNJ Beauty & The Beast ZTMXC000001;1.007.250;1;1;7;Beauty & The Beast;Synthetic;;;Mix đá;;Nữ;Sinh nhật,Các dịp lễ tết;Cho Nàng;;;;;;;;;;;;;;;;;;;;;;0
2;SNXMXMW060007;https://cdn.pnj.io/images/thumbnails/300/300/detailed/97/snxmxmw060007-nhan-bac-dinh-da-ecz-pnjsilver-01.png;Nhẫn Bạc đính đá ECZ PNJSilver XMXMW060007;995.000;1;2;6;;Xoàn mỹ;;;Xoàn mỹ;;Nữ;Sinh nhật,Tình yêu,Cầu hôn,Quà cưới - Kỷ niệm ngày cưới;Cho Nàng,Cho Mẹ;;;;;;;;;;;;;;;;;;;;;;0
3;SNXMXMH000021;https://cdn.pnj.io/images/thumbnails/300/300/detailed/99/snxmxmh000021-nhan-bac-dinh-da-pnjsilver-friendzone-breaker-hinh-trai-tim.png;Nhẫn bạc đính đá PNJSilver Friendzone Breaker hình trái tim XMXMH000021;373.000;1;2;5;Friendzone Breaker;CZ;Trắng;Tròn;;;Nữ;Sinh nhật,Tình yêu,Ngày kỷ niệm,Các dịp lễ tết;Cho Nàng;;;Cảm xúc;;;;;;;;;;;;;;;;;;;0
4;SNZTMXW000005;https://cdn.pnj.io/images/thumbnails/300/300/detailed/88/snztmxw000005-nhan-bac-dinh-da-pnjsilver-xmas-collection.png;Nhẫn bạc đính đá PNJSilver Xmas Collection ZTMXW000005;596.000;1;2;5;Xmas Collection;Sythetic;Nhiều màu;;Mix đá;;Nữ;Sinh nhật,Ngày kỷ niệm,Các dịp lễ tết;Cho Nàng;;;;;;;;;;;;;;;;;;;;;;0
5;SNZTXMK000003;https://cdn.pnj.io/images/thumbnails/300/300/detailed/58/snd2kk92718.408-nhan-bac-pnjsilver-dinh-da-mau-xanh-01.png;Nhẫn bạc đính đá màu xanh lá PNJSilver Fantasia ZTXMK000003;545.000;1;2;7;Fantasia;CZ;Xanh lá cây;Trái tim;CZ;Trắng;Nữ;Sinh nhật,Tình yêu,Ngày kỷ niệm;Cho Nàng;;;;;;;;;;;;;;;;;;;;;;0
6;SNZTXMK000085;https://cdn.pnj.io/images/thumbnails/300/300/detailed/58/snd2kn92626.404-nhan-bac-pnjsilver-dinh-da-mau-do-01.png;Nhẫn bạc đính đá màu đỏ PNJSilver Fantasia ZTXMK000085;615.000;1;2;10;Fantasia;CZ;Đỏ;Trái tim;CZ;Trắng;Nữ;Sinh nhật,Tình yêu,Ngày kỷ niệm;Cho Nàng;;;;;;;;;;;;;;;;;;;;;;0
7;SNZTXMK000087;https://cdn.pnj.io/images/thumbnails/300/300/detailed/58/snd2kn92633.404-nhan-bac-pnjsilver-dinh-da-mau-do-01.png;Nhẫn bạc đính đá màu đỏ PNJSilver Fantasia ZTXMK000087;535.000;1;2;7;Fantasia;CZ;Đỏ;Trái tim;CZ;Trắng;Nữ;Sinh nhật,Tình yêu,Ngày kỷ niệm;Cho Nàng;;;;;;;;;;;;;;;;;;;;;;0
8;SNZTXMK000089;https://cdn.pnj.io/images/thumbnails/300/300/detailed/58/snd2kn92652.401-nhan-bac-pnjsilver-dinh-da-mau-xanh-duong-01.png;Nhẫn bạc đính đá màu xanh dương PNJSilver Fantasia ZTXMK000089;525.000;1;2;7;Fantasia;CZ;Xanh duơng;Tròn;CZ;Trắng;Nữ;Sinh nhật,Tình yêu,Ngày kỷ niệm,Các dịp lễ tết;Cho Nàng;;;;;;;;;;;;;;;;;;;;;;0
9;SNZTXMK000086;https://cdn.pnj.io/images/thumbnails/300/300/detailed/58/snd2kn92630.404-nhan-bac-pnjsilver-dinh-da-mau-do-01.png;Nhẫn bạc đính đá màu đỏ PNJSilver Fantasia ZTXMK000086;515.000;1;2;7;Fantasia;CZ;Đỏ;Trái tim;CZ;Trắng;Nữ;Sinh nhật,Tình yêu,Ngày kỷ niệm;Cho Nàng;;;;;;;;;;;;;;;;;;;;;;0
10;SNXM00K000170;https://cdn.pnj.io/images/thumbnails/300/300/detailed/78/snxm00k000170-nhan-bac-dinh-da-pnjsilver-01.png;Nhẫn bạc đính đá PNJSilver XM00K000170;475.000;1;2;9;;Xoàn mỹ;;;Không gắn đá;;Nữ;Sinh nhật,Tình yêu,Ngày kỷ niệm,Các dịp lễ tết;Cho Nàng;;;;;;;;;;;;;;;;;;;;;;0
